name, addr, equipment, inclusive, fitness, others, lat, lng
佐波公園,防府市八王子一丁目1489,ブランコ(2連・4連)、スベリ台、鉄棒(2連)、複合遊具、砂場,,,トイレ、水道、パーゴラ、ベンチ(10基),34.05617632,131.5657645
三田尻御茶屋公園,防府市お茶屋町336,ブランコ(4連)、ラダー、砂場,,,トイレ、水道、パーゴラ、ベンチ(11基),34.04586025,131.5734119
えびす公園,防府市戎町二丁目1203,ブランコ(4連)、スベリ台、リングトンネル、砂場、輪くぐり、ステップ渡り,,,トイレ、水道、ベンチ(12基),34.05971012,131.5705124
松原公園,防府市松原町2-25,ブランコ(4連)、スベリ台、鉄棒(4連)、砂場,,,トイレ、水道、ベンチ(10基),34.04411139,131.5704661
千日公園,防府市千日二丁目14-56,ブランコ(4連)、鉄棒(4連)、複合遊具、砂場、汽車型くぐり穴,,,トイレ、水道、パーゴラ、ベンチ(11基),34.06171632,131.5617272
三田尻第二公園,防府市三田尻二丁目12-9,ブランコ(2連)、スベリ台、鉄棒(3連)、砂場,,,水道、パーゴラ、ベンチ(9基),34.04329772,131.5782612
華浦公園,防府市華浦二丁目105-1,ブランコ(4連)、鉄棒(4連)、複合遊具、砂場,,,トイレ、水道、パーゴラ、ベンチ(13基),34.04031596,131.5679783
鋳物師公園,防府市鋳物師1285-2,ブランコ(4連)、スベリ台、鉄棒(4連)、砂場,,,トイレ、水道、パーゴラ、ベンチ(9基),34.05053189,131.5763529
高倉公園,防府市高倉一丁目1982,ブランコ(4連)、スベリ台、鉄棒(4連)、砂場、置物遊具(タコ),,,トイレ、水道、パーゴラ、ベンチ(10基),34.0560816,131.5578574
中関公園,防府市大字田島2358,ブランコ(4連)、スベリ台、鉄棒(3連・4連)、砂場,,,トイレ、水道、パーゴラ、ベンチ(8基),34.01504095,131.5366528
脇公園,防府市大字富海2755,ブランコ(4連)、スベリ台、鉄棒(4連)、砂場、置物遊具(タコ・クマ),ホットポット、三角ボルダリング、パネルプレイ,ストレッチベンチ、バランス渡り,トイレ、水道、パーゴラ、ベンチ(11基),34.05043059,131.6483707
岩畠公園,防府市岩畠一丁目3930,ブランコ(4連)、鉄棒(3連)、砂場,ウェーブロード、ウォームクライム、複合遊具、,ぶらさがり,トイレ、水道、ベンチ(17基),34.05919038,131.5959952
坂本公園,防府市大字牟礼258-1,ブランコ(4連)、スベリ台、鉄棒(3連)、砂場,,,トイレ、水道、ペンチ(7基),34.06635317,131.6102719
東須賀公園,防府市大字新田1000-7,ブランコ(4連)、スベリ台、砂場,ホットポット、三角ボルダリング、パネルプレイ、複合遊具,ストレッチベンチ、バランス渡り,トイレ、水道、ベンチ(10基),34.03367142,131.5717904
迫戸公園,防府市迫戸町186-1,ブランコ(4連)、鉄棒(3連)、複合遊具、砂場,,,トイレ、水道、パーゴラ、ベンチ(6基),34.063824,131.5693127
西勝間公園,防府市勝間一丁目431-3,ブランコ(4連)、スベリ台、砂場、置物遊具(ブタ),,,トイレ、水道、ベンチ(10基),34.04610151,131.5812247
古祖原公園,防府市大字西佐波令2492-1,スベリ台、砂場,,,トイレ、水道、ベンチ(2基),34.05846007,131.5494304
問屋口公園,防府市大字新田1784-1,ブランコ(2連)、スベリ台、砂場,,,トイレ、水道、ベンチ(10基),34.02233007,131.5797239
今宿公園,防府市牟礼今宿一丁目3311-1,ブランコ(4連)、複合遊具,,,トイレ、水道、ベンチ(3基),34.05439106,131.5999386
華城公園,防府市伊佐江町437-1,ブランコ(4連)、複合遊具、砂場,ホットポット、イグルージム、パネルプレイ,ストレッチベンチ,トイレ、水道、ベンチ(7基)、テーブル,34.04573629,131.5530915
警固町公園,防府市勝間二丁目536-1,ブランコ(4連)、複合遊具,,,トイレ、水道、ベンチ(8基),34.04912873,131.5831818
晒石公園,防府市大字仁井令734-4,ブランコ(4連)、スベリ台、砂場,ホットポット、イグルージム、パネルプレイ,ストレッチベンチ,トイレ、水道、ベンチ(8基),34.03717561,131.5591657
新田公園,防府市大字新田521-2,ブランコ(4連)、スベリ台、砂場,,,トイレ、水道、パーゴラ、ベンチ(6基),34.0357451,131.5652959
国衙公園,防府市国衙一丁目806-3,ブランコ(4連)、スベリ台、砂場,,,トイレ、水道、パーゴラ、ベンチ(8基),34.0548399,131.5862949
新前町公園,防府市大字田島1067-3,ブランコ(4連)、スベリ台、砂場,ホットポット、パネルプレイ、ウェーブロード,ストレッチベンチ,トイレ、水道、パーゴラ、ベンチ(8基)、テーブル(2基),34.02297756,131.5606903
西須賀公園,防府市大字新田1044-5,ブランコ(4連)、スベリ台、砂場,,,トイレ、水道、パーゴラ、ベンチ(12基),34.02820922,131.5675186
岸津公園,防府市岸津二丁目4139-3,ブランコ(4連)、スベリ台、鉄棒(2連)、砂場,,,トイレ、水道、パーゴラ、ベンチ(11基)、テーブル(2基),34.05200193,131.593792
中央町公園,防府市中央町16-1,ブランコ(2連),,,トイレ、水道、ベンチ(5基)、テーブルベンチ(3基),34.05175864,131.5717648
中関第二公園,防府市大字田島341-77,ブランコ(4連)、スベリ台、鉄棒(3連)、砂場、置物遊具(ウマ・クジラ),,,トイレ、水道、パーゴラ、ベンチ(13基),34.02128337,131.5494524
